College,College Initials,Program,Credential_level,Measure,Totals,Blank,Not Available
Garrett College,GC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Garrett College,GC,CPAM Degree AAS (Degree),Degree,retentionRate,0.23,Not Blank,
Garrett College,GC,CPAM Degree AAS (Not Specified),Not Specified,retentionRate,0.33,Not Blank,
Garrett College,GC,CPAM Non-credit Certificate (Certificate <1y) [No Data],Certificate (less than one year),retentionRate,0.05,Blank,
Garrett College,GC,CPAM Non-credit Certificate (Other) [No Data],Other,retentionRate,0.05,Blank,
Garrett College,GC,Non-CPAM Degree (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Garrett College,GC,Non-CPAM Degree (Not Specified),Not Specified,retentionRate,0.40,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),retentionRate,0.80,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Not Specified),Not Specified,retentionRate,0.50,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),retentionRate,0.05,Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Degree),Degree,retentionRate,0.42,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Not Specified),Not Specified,retentionRate,0.43,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Degree),Degree,retentionRate,0.28,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Other),Other,retentionRate,1.00,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Not Specified),Not Specified,retentionRate,0.33,Not Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Degree)[No Data],Degree,retentionRate,0.05,Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Not Specified),Not Specified,retentionRate,0.50,Not Blank,
Hagerstown Community College,HagersCC,Not Specified (Degree),Degree,retentionRate,0.23,Not Blank,
Hagerstown Community College,HagersCC,Not Specified [No Data],Not Specified,retentionRate,0.05,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),retentionRate,0.05,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y) [No Data],Degree,retentionRate,0.05,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Not Specified),Not Specified,retentionRate,0.13,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),retentionRate,0.03,Not Blank,
Harford Community College,HarfordCC,CPAM Degree AS (Degree),Degree,retentionRate,0.10,Not Blank,
