College,College Initials,Program,Credential_level,Measure,Totals,Blank,Not Available
Carroll Community College,CCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,29740,Not Blank,
Carroll Community College,CCC,CPAM Certificate >1y (Certificate >1y) [No Data],Didnt Apply for Credential,medianEarning,500,Blank,
Carroll Community College,CCC,CPAM Degree AAS (Degree) [No Data],Degree,medianEarning,500,Blank,
Carroll Community College,CCC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Carroll Community College,CCC,CPAM Degree AS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Carroll Community College,CCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),medianEarning,33437.5,Not Blank,
Carroll Community College,CCC,CPAM Non-credit Certificate (Not Specified),Not Specified,medianEarning,32475,Not Blank,
Carroll Community College,CCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Carroll Community College,CCC,Non-CPAM Degree (Not Specified),Not Specified,medianEarning,29902,Not Blank,
Carroll Community College,CCC,Not Specified (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
Carroll Community College,CCC,Not Specified,Not Specified,medianEarning,34753.5,Not Blank,
College of Southern Maryland,CoSM,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
College of Southern Maryland,CoSM,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
College of Southern Maryland,CoSM,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,21642,Not Blank,
College of Southern Maryland,CoSM,CPAM Degree AAS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
College of Southern Maryland,CoSM,CPAM Degree AS (Degree),Degree,medianEarning,10019,Not Blank,
College of Southern Maryland,CoSM, CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
College of Southern Maryland,CoSM,Non-CPAM Degree (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
College of Southern Maryland,CoSM,Not Specified [No Data],Not Specified,medianEarning,500,Blank,
Community College of Baltimore County,CCBC,CPAM Certificate <1y (Didnt Apply for Credential),Didnt Apply for Credential,medianEarning,28022,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate <1y (Not Specified),Not Specified,medianEarning,6837,Not Blank,
Community College of Baltimore County,CCBC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,33702,Not Blank,
Community College of Baltimore County,CCBC,CPAM Degree AAS (Degree),Degree,medianEarning,29420,Not Blank,
Community College of Baltimore County,CCBC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Community College of Baltimore County,CCBC,CPAM Degree AS (Degree),Degree,medianEarning,5905,Not Blank,
Community College of Baltimore County,CCBC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Frederick Community College,FCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),medianEarning,29733.5,Not Blank,
Frederick Community College,FCC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Frederick Community College,FCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,25203.5,Not Blank,
Frederick Community College,FCC,CPAM Degree AAS (Degree),Degree,medianEarning,26203,Not Blank,
Frederick Community College,FCC,CPAM Degree AAS (Not Specified),Not Specified,medianEarning,19438.5,Not Blank,
Frederick Community College,FCC,CPAM Degree AS (Degree),Degree,medianEarning,11662.5,Not Blank,
Garrett College,GC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),medianEarning,27950,Not Blank,
Garrett College,GC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Garrett College,GC,CPAM Degree AAS (Degree),Degree,medianEarning,9664.5,Not Blank,
Garrett College,GC,CPAM Degree AAS (Not Specified),Not Specified,medianEarning,16271,Not Blank,
Garrett College,GC,CPAM Non-credit Certificate (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
Garrett College,GC,CPAM Non-credit Certificate (Other) [No Data],Other,medianEarning,500,Blank,
Garrett College,GC,Non-CPAM Degree (Degree),Degree,medianEarning,4212,Not Blank,
Garrett College,GC,Non-CPAM Degree (Not Specified),Not Specified,medianEarning,13467,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),medianEarning,14638.5,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate <1y (Not Specified),Not Specified,medianEarning,57878,Not Blank,
Hagerstown Community College,HagersCC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),medianEarning,500,Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Degree),Degree,medianEarning,20791,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AAS (Not Specified),Not Specified,medianEarning,25357,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Degree),Degree,medianEarning,26121,Not Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Other) [No Data],Other,medianEarning,500,Blank,
Hagerstown Community College,HagersCC,CPAM Degree AS (Not Specified),Not Specified,medianEarning,48656,Not Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Degree)[No Data],Degree,medianEarning,500,Blank,
Hagerstown Community College,HagersCC,Non-CPAM Degree (Not Specified),Not Specified,medianEarning,22385,Not Blank,
Hagerstown Community College,HagersCC,Not Specified (Degree) [No Data],Degree,medianEarning,500,Blank,
Hagerstown Community College,HagersCC,Not Specified [No Data],Not Specified,medianEarning,500,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Certificate <1y) [No Data],Degree,medianEarning,500,Blank,
Harford Community College,HarfordCC,CPAM Certificate <1y (Not Specified),Not Specified,medianEarning,31135.5,Not Blank,
Harford Community College,HarfordCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,97081,Not Blank,
Harford Community College,HarfordCC,CPAM Degree AS (Degree),Degree,medianEarning,23934.5,Not Blank,
Harford Community College,HarfordCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Degree) [No Data],Degree,medianEarning,500,Blank,
Harford Community College,HarfordCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Harford Community College,HarfordCC,Not Specified [No Data],Not Specified,medianEarning,500,Blank,
Howard Community College,HowardCC,CPAM Certificate <1y (Not Specified),Not Specified,medianEarning,64027,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,54612,Not Blank,
Howard Community College,HowardCC,CPAM Certificate >1y (Not Specified),Not Specified,medianEarning,19344,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Certificate >1y),Certificate (more than one year),medianEarning,41797,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Degree),Degree,medianEarning,24671.5,Not Blank,
Howard Community College,HowardCC,CPAM Degree AA (Not Specified),Not Specified,medianEarning,39874.5,Not Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Degree) [No Data],Degree,medianEarning,500,Blank,
Howard Community College,HowardCC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Howard Community College,HowardCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Howard Community College,HowardCC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Degree),Degree,medianEarning,6848,Not Blank,
Howard Community College,HowardCC,Non-CPAM Degree (Not Specified),Not Specified,medianEarning,18287,Not Blank,
Howard Community College,HowardCC,Not Specified,Not Specified,medianEarning,44148,Not Blank,
Howard Community College ,HowardCC ,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Howard Community College ,HowardCC ,CPAM Degree AAS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Howard Community College ,HowardCC ,Non-CPAM Degree (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Montgomery College,MC,CPAM Certificate <1y (Certificate <1y),Certificate (less than one year),medianEarning,35067,Not Blank,
Montgomery College,MC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Montgomery College,MC,CPAM Certificate >1y (Certificate >1y),Certificate (more than one year),medianEarning,40268,Not Blank,
Montgomery College,MC,CPAM Degree AA (Degree) [No Data],Degree,medianEarning,500,Blank,
Montgomery College,MC,CPAM Degree AAS (Degree),Degree,medianEarning,40034,Not Blank,
Montgomery College,MC,CPAM Degree AAS (Other) [No Data],Other,medianEarning,500,Blank,
Montgomery College,MC,CPAM Degree AAS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Montgomery College,MC,CPAM Degree AS (Degree),Degree,medianEarning,38784,Not Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
Montgomery College,MC,Non-CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Montgomery College,MC,Non-CPAM Degree (Degree) [No Data],Degree,medianEarning,500,Blank,
Montgomery College,MC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Montgomery College,MC,Not Specified (Degree),Degree,medianEarning,79469,Not Blank,
Montgomery College,MC,Not Specified (Other) [No Data],Other,medianEarning,500,Blank,
