value,label
All,All
Certificate (more than one year),Certificate (more than one year)
Certificate (less than one year),Certificate (less than one year)
Degree,Degree
Didnt Apply for Credential,Didnt Apply for Credential
Not Specified,Not Specified
Other,Other
