value,label
All,All
CPAM Certificate <1y,CPAM Certificate <1y
CPAM Certificate >1y,CPAM Certificate >1y
CPAM Degree AAS,CPAM Degree AAS
CPAM Degree AA,CPAM Degree AA
CPAM Degree AS,CPAM Degree AS
Non-CPAM Certificate <1y,Non-CPAM Certificate <1y
Non-CPAM Degree,Non-CPAM Degree
Not Specified,Not Specified
